location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,35.7,139.6875,40.0,32400,Asia/Tokyo,GMT+9
1,-18.875,47.5,1274.0,10800,Indian/Antananarivo,GMT+3
2,51.5,-0.120000124,23.0,3600,Europe/London,GMT+1
3,48.86,2.3399997,43.0,7200,Europe/Paris,GMT+2

location_id,time,rain (mm),temperature_2m (°C),relative_humidity_2m (%)
0,2025-06-30T22:15,0.00,25.5,87
1,2025-06-30T16:15,0.00,19.5,60
2,2025-06-30T14:15,0.00,30.0,42
3,2025-06-30T15:15,0.00,34.0,33

location_id,time,temperature_2m (°C),rain (mm),relative_humidity_2m (%)
0,2025-06-30T00:00,23.4,0.00,82
0,2025-06-30T01:00,22.8,0.00,86
0,2025-06-30T02:00,22.6,0.00,87
0,2025-06-30T03:00,21.7,0.00,93
0,2025-06-30T04:00,21.6,0.00,93
0,2025-06-30T05:00,21.5,0.00,94
0,2025-06-30T06:00,22.5,0.00,94
0,2025-06-30T07:00,24.3,0.00,87
0,2025-06-30T08:00,26.2,0.00,80
0,2025-06-30T09:00,27.6,0.00,75
0,2025-06-30T10:00,29.1,0.00,70
0,2025-06-30T11:00,30.5,0.00,66
0,2025-06-30T12:00,31.4,0.00,61
0,2025-06-30T13:00,31.6,0.00,59
0,2025-06-30T14:00,31.5,0.00,60
0,2025-06-30T15:00,30.5,0.00,61
0,2025-06-30T16:00,29.7,0.00,65
0,2025-06-30T17:00,28.9,0.00,73
0,2025-06-30T18:00,27.8,0.00,79
0,2025-06-30T19:00,26.7,0.00,84
0,2025-06-30T20:00,26.1,0.00,86
0,2025-06-30T21:00,25.8,0.00,86
0,2025-06-30T22:00,25.5,0.00,87
0,2025-06-30T23:00,25.4,0.00,88
0,2025-07-01T00:00,25.0,0.00,91
0,2025-07-01T01:00,24.5,0.00,93
0,2025-07-01T02:00,24.2,0.00,93
0,2025-07-01T03:00,24.0,0.00,94
0,2025-07-01T04:00,23.9,0.00,95
0,2025-07-01T05:00,23.8,0.00,95
0,2025-07-01T06:00,24.4,0.00,93
0,2025-07-01T07:00,25.6,0.00,88
0,2025-07-01T08:00,27.1,0.00,82
0,2025-07-01T09:00,28.5,0.00,77
0,2025-07-01T10:00,30.1,0.00,70
0,2025-07-01T11:00,30.8,0.00,68
0,2025-07-01T12:00,31.5,0.00,68
0,2025-07-01T13:00,31.5,0.00,69
0,2025-07-01T14:00,31.2,0.00,70
0,2025-07-01T15:00,30.5,0.00,72
0,2025-07-01T16:00,29.8,0.00,74
0,2025-07-01T17:00,29.0,0.00,77
0,2025-07-01T18:00,28.2,0.00,80
0,2025-07-01T19:00,27.4,0.00,84
0,2025-07-01T20:00,26.6,0.00,87
0,2025-07-01T21:00,26.1,0.00,90
0,2025-07-01T22:00,25.8,0.00,91
0,2025-07-01T23:00,25.6,0.00,92
0,2025-07-02T00:00,25.5,0.00,92
0,2025-07-02T01:00,25.2,0.00,92
0,2025-07-02T02:00,25.0,0.00,93
0,2025-07-02T03:00,24.8,0.00,94
0,2025-07-02T04:00,24.5,0.00,96
0,2025-07-02T05:00,24.5,0.00,96
0,2025-07-02T06:00,24.8,0.00,94
0,2025-07-02T07:00,25.5,0.00,92
0,2025-07-02T08:00,25.9,0.00,90
0,2025-07-02T09:00,25.9,0.40,92
0,2025-07-02T10:00,25.2,2.10,97
0,2025-07-02T11:00,25.5,1.10,96
0,2025-07-02T12:00,25.2,0.50,94
0,2025-07-02T13:00,25.0,0.60,93
0,2025-07-02T14:00,25.0,0.40,91
0,2025-07-02T15:00,25.4,0.10,88
0,2025-07-02T16:00,25.8,0.00,85
0,2025-07-02T17:00,26.0,0.00,83
0,2025-07-02T18:00,25.9,0.00,85
0,2025-07-02T19:00,25.0,0.00,93
0,2025-07-02T20:00,24.5,0.00,95
0,2025-07-02T21:00,24.1,0.00,96
0,2025-07-02T22:00,23.7,0.00,97
0,2025-07-02T23:00,23.5,0.00,98
0,2025-07-03T00:00,23.3,0.00,99
0,2025-07-03T01:00,23.4,0.00,99
0,2025-07-03T02:00,23.5,0.00,99
0,2025-07-03T03:00,23.4,0.00,99
0,2025-07-03T04:00,23.1,0.00,99
0,2025-07-03T05:00,23.1,0.00,99
0,2025-07-03T06:00,23.5,0.00,99
0,2025-07-03T07:00,23.7,0.00,99
0,2025-07-03T08:00,25.0,0.00,93
0,2025-07-03T09:00,26.0,0.00,89
0,2025-07-03T10:00,27.4,0.00,83
0,2025-07-03T11:00,28.5,0.00,79
0,2025-07-03T12:00,29.0,0.00,77
0,2025-07-03T13:00,29.0,0.10,79
0,2025-07-03T14:00,29.5,0.10,77
0,2025-07-03T15:00,29.2,0.00,77
0,2025-07-03T16:00,31.0,0.00,60
0,2025-07-03T17:00,30.0,0.00,65
0,2025-07-03T18:00,28.6,0.00,70
0,2025-07-03T19:00,27.2,0.00,76
0,2025-07-03T20:00,26.4,0.00,80
0,2025-07-03T21:00,26.0,0.00,83
0,2025-07-03T22:00,25.6,0.00,85
0,2025-07-03T23:00,25.4,0.00,87
0,2025-07-04T00:00,25.3,0.00,88
0,2025-07-04T01:00,25.1,0.00,89
0,2025-07-04T02:00,25.1,0.00,90
0,2025-07-04T03:00,25.0,0.00,90
0,2025-07-04T04:00,24.9,0.00,91
0,2025-07-04T05:00,24.9,0.00,91
0,2025-07-04T06:00,25.3,0.00,89
0,2025-07-04T07:00,26.4,0.00,83
0,2025-07-04T08:00,27.9,0.00,75
0,2025-07-04T09:00,29.3,0.00,68
0,2025-07-04T10:00,30.5,0.00,62
0,2025-07-04T11:00,31.6,0.00,57
0,2025-07-04T12:00,32.4,0.00,54
0,2025-07-04T13:00,32.8,0.00,53
0,2025-07-04T14:00,32.7,0.00,54
0,2025-07-04T15:00,32.4,0.00,56
0,2025-07-04T16:00,31.5,0.00,60
0,2025-07-04T17:00,30.3,0.00,65
0,2025-07-04T18:00,29.2,0.00,70
0,2025-07-04T19:00,28.1,0.00,75
0,2025-07-04T20:00,27.0,0.00,81
0,2025-07-04T21:00,26.2,0.00,85
0,2025-07-04T22:00,25.8,0.00,87
0,2025-07-04T23:00,25.6,0.00,88
0,2025-07-05T00:00,25.5,0.00,89
0,2025-07-05T01:00,25.4,0.00,90
0,2025-07-05T02:00,25.2,0.00,91
0,2025-07-05T03:00,25.2,0.00,92
0,2025-07-05T04:00,25.2,0.00,92
0,2025-07-05T05:00,25.2,0.00,92
0,2025-07-05T06:00,25.8,0.00,90
0,2025-07-05T07:00,27.1,0.00,84
0,2025-07-05T08:00,28.9,0.00,75
0,2025-07-05T09:00,30.6,0.00,67
0,2025-07-05T10:00,32.1,0.00,61
0,2025-07-05T11:00,33.4,0.00,55
0,2025-07-05T12:00,34.4,0.00,51
0,2025-07-05T13:00,34.7,0.00,50
0,2025-07-05T14:00,34.5,0.00,50
0,2025-07-05T15:00,34.4,0.00,51
0,2025-07-05T16:00,34.0,0.00,52
0,2025-07-05T17:00,33.0,0.00,55
0,2025-07-05T18:00,31.9,0.00,60
0,2025-07-05T19:00,30.5,0.00,67
0,2025-07-05T20:00,28.9,0.00,75
0,2025-07-05T21:00,27.6,0.00,82
0,2025-07-05T22:00,27.0,0.00,86
0,2025-07-05T23:00,26.7,0.00,88
0,2025-07-06T00:00,26.5,0.00,90
0,2025-07-06T01:00,26.3,0.00,91
0,2025-07-06T02:00,26.3,0.00,91
0,2025-07-06T03:00,26.3,0.00,91
0,2025-07-06T04:00,26.2,0.00,91
0,2025-07-06T05:00,26.2,0.00,91
0,2025-07-06T06:00,26.7,0.00,89
0,2025-07-06T07:00,27.8,0.00,84
0,2025-07-06T08:00,29.3,0.00,76
0,2025-07-06T09:00,30.9,0.00,69
0,2025-07-06T10:00,32.4,0.00,62
0,2025-07-06T11:00,34.0,0.00,55
0,2025-07-06T12:00,35.1,0.00,50
0,2025-07-06T13:00,35.7,0.00,46
0,2025-07-06T14:00,36.0,0.00,44
0,2025-07-06T15:00,35.5,0.00,46
0,2025-07-06T16:00,34.0,0.00,54
0,2025-07-06T17:00,31.8,0.00,65
0,2025-07-06T18:00,30.0,0.00,74
0,2025-07-06T19:00,29.1,0.00,79
0,2025-07-06T20:00,28.5,0.00,82
0,2025-07-06T21:00,28.1,0.00,84
0,2025-07-06T22:00,27.7,0.00,84
0,2025-07-06T23:00,27.5,0.00,84
1,2025-06-30T00:00,13.5,0.00,85
1,2025-06-30T01:00,13.0,0.00,85
1,2025-06-30T02:00,12.4,0.00,87
1,2025-06-30T03:00,11.4,0.00,90
1,2025-06-30T04:00,10.9,0.00,90
1,2025-06-30T05:00,10.2,0.00,90
1,2025-06-30T06:00,9.5,0.00,91
1,2025-06-30T07:00,9.3,0.00,90
1,2025-06-30T08:00,11.8,0.00,78
1,2025-06-30T09:00,14.4,0.00,71
1,2025-06-30T10:00,17.2,0.00,65
1,2025-06-30T11:00,19.7,0.00,57
1,2025-06-30T12:00,21.3,0.00,48
1,2025-06-30T13:00,21.9,0.00,47
1,2025-06-30T14:00,21.6,0.00,52
1,2025-06-30T15:00,21.1,0.00,54
1,2025-06-30T16:00,20.0,0.00,58
1,2025-06-30T17:00,18.0,0.00,65
1,2025-06-30T18:00,16.5,0.00,72
1,2025-06-30T19:00,15.9,0.00,77
1,2025-06-30T20:00,15.7,0.00,79
1,2025-06-30T21:00,15.6,0.00,82
1,2025-06-30T22:00,15.6,0.00,84
1,2025-06-30T23:00,15.8,0.00,84
1,2025-07-01T00:00,15.7,0.00,83
1,2025-07-01T01:00,15.2,0.00,83
1,2025-07-01T02:00,14.9,0.00,84
1,2025-07-01T03:00,14.8,0.00,84
1,2025-07-01T04:00,14.3,0.00,84
1,2025-07-01T05:00,13.8,0.00,84
1,2025-07-01T06:00,13.5,0.00,83
1,2025-07-01T07:00,13.5,0.00,84
1,2025-07-01T08:00,14.6,0.00,81
1,2025-07-01T09:00,17.0,0.00,70
1,2025-07-01T10:00,18.3,0.00,64
1,2025-07-01T11:00,19.6,0.00,59
1,2025-07-01T12:00,20.3,0.00,57
1,2025-07-01T13:00,20.7,0.00,55
1,2025-07-01T14:00,20.4,0.00,57
1,2025-07-01T15:00,19.6,0.00,58
1,2025-07-01T16:00,18.7,0.00,60
1,2025-07-01T17:00,17.0,0.00,69
1,2025-07-01T18:00,15.6,0.00,78
1,2025-07-01T19:00,14.8,0.00,82
1,2025-07-01T20:00,14.2,0.00,84
1,2025-07-01T21:00,13.7,0.00,87
1,2025-07-01T22:00,13.4,0.00,84
1,2025-07-01T23:00,12.4,0.00,85
1,2025-07-02T00:00,11.8,0.00,82
1,2025-07-02T01:00,11.2,0.00,83
1,2025-07-02T02:00,10.9,0.00,85
1,2025-07-02T03:00,11.6,0.00,85
1,2025-07-02T04:00,13.3,0.00,91
1,2025-07-02T05:00,14.3,0.00,85
1,2025-07-02T06:00,14.3,0.00,85
1,2025-07-02T07:00,14.5,0.00,85
1,2025-07-02T08:00,14.7,0.00,82
1,2025-07-02T09:00,14.6,0.00,80
1,2025-07-02T10:00,13.7,0.00,82
1,2025-07-02T11:00,14.0,0.00,75
1,2025-07-02T12:00,15.8,0.00,64
1,2025-07-02T13:00,17.0,0.00,60
1,2025-07-02T14:00,17.8,0.00,55
1,2025-07-02T15:00,17.3,0.00,55
1,2025-07-02T16:00,16.1,0.00,61
1,2025-07-02T17:00,14.6,0.00,65
1,2025-07-02T18:00,13.0,0.00,75
1,2025-07-02T19:00,12.1,0.00,79
1,2025-07-02T20:00,11.4,0.00,82
1,2025-07-02T21:00,10.9,0.00,85
1,2025-07-02T22:00,10.2,0.00,85
1,2025-07-02T23:00,9.7,0.00,86
1,2025-07-03T00:00,10.0,0.00,86
1,2025-07-03T01:00,9.9,0.00,90
1,2025-07-03T02:00,9.8,0.00,90
1,2025-07-03T03:00,9.6,0.00,89
1,2025-07-03T04:00,9.6,0.00,88
1,2025-07-03T05:00,9.7,0.00,89
1,2025-07-03T06:00,9.5,0.00,91
1,2025-07-03T07:00,9.8,0.00,90
1,2025-07-03T08:00,11.6,0.00,81
1,2025-07-03T09:00,13.7,0.00,67
1,2025-07-03T10:00,15.8,0.00,53
1,2025-07-03T11:00,17.0,0.00,51
1,2025-07-03T12:00,18.0,0.00,46
1,2025-07-03T13:00,18.4,0.00,46
1,2025-07-03T14:00,18.2,0.00,48
1,2025-07-03T15:00,17.7,0.00,51
1,2025-07-03T16:00,16.4,0.00,57
1,2025-07-03T17:00,14.7,0.00,65
1,2025-07-03T18:00,13.1,0.00,73
1,2025-07-03T19:00,12.1,0.00,80
1,2025-07-03T20:00,11.3,0.00,86
1,2025-07-03T21:00,10.7,0.00,90
1,2025-07-03T22:00,10.5,0.00,91
1,2025-07-03T23:00,10.4,0.00,90
1,2025-07-04T00:00,10.3,0.00,89
1,2025-07-04T01:00,10.1,0.00,90
1,2025-07-04T02:00,9.9,0.00,90
1,2025-07-04T03:00,9.7,0.00,91
1,2025-07-04T04:00,9.4,0.00,92
1,2025-07-04T05:00,9.3,0.00,92
1,2025-07-04T06:00,9.5,0.00,90
1,2025-07-04T07:00,10.4,0.00,85
1,2025-07-04T08:00,11.8,0.00,78
1,2025-07-04T09:00,13.2,0.00,71
1,2025-07-04T10:00,14.9,0.00,63
1,2025-07-04T11:00,16.6,0.00,56
1,2025-07-04T12:00,17.8,0.00,50
1,2025-07-04T13:00,18.3,0.00,47
1,2025-07-04T14:00,18.4,0.00,47
1,2025-07-04T15:00,17.9,0.00,50
1,2025-07-04T16:00,16.7,0.00,57
1,2025-07-04T17:00,14.9,0.00,67
1,2025-07-04T18:00,13.4,0.00,76
1,2025-07-04T19:00,12.3,0.00,82
1,2025-07-04T20:00,11.4,0.00,88
1,2025-07-04T21:00,10.7,0.00,91
1,2025-07-04T22:00,10.3,0.00,92
1,2025-07-04T23:00,10.0,0.00,91
1,2025-07-05T00:00,9.7,0.00,90
1,2025-07-05T01:00,9.2,0.00,91
1,2025-07-05T02:00,8.6,0.00,92
1,2025-07-05T03:00,8.0,0.00,93
1,2025-07-05T04:00,6.8,0.00,96
1,2025-07-05T05:00,5.6,0.00,99
1,2025-07-05T06:00,5.4,0.00,99
1,2025-07-05T07:00,7.0,0.00,93
1,2025-07-05T08:00,9.7,0.00,83
1,2025-07-05T09:00,11.7,0.00,76
1,2025-07-05T10:00,14.8,0.00,66
1,2025-07-05T11:00,16.9,0.00,57
1,2025-07-05T12:00,18.3,0.00,52
1,2025-07-05T13:00,18.6,0.00,52
1,2025-07-05T14:00,18.2,0.00,55
1,2025-07-05T15:00,17.5,0.00,59
1,2025-07-05T16:00,16.7,0.00,64
1,2025-07-05T17:00,15.6,0.00,69
1,2025-07-05T18:00,14.5,0.00,75
1,2025-07-05T19:00,13.7,0.00,80
1,2025-07-05T20:00,12.9,0.00,85
1,2025-07-05T21:00,12.3,0.00,89
1,2025-07-05T22:00,11.8,0.00,91
1,2025-07-05T23:00,11.3,0.00,92
1,2025-07-06T00:00,11.0,0.00,93
1,2025-07-06T01:00,10.6,0.00,93
1,2025-07-06T02:00,10.3,0.00,93
1,2025-07-06T03:00,10.1,0.00,93
1,2025-07-06T04:00,9.9,0.00,93
1,2025-07-06T05:00,9.7,0.00,94
1,2025-07-06T06:00,10.1,0.00,92
1,2025-07-06T07:00,11.1,0.00,87
1,2025-07-06T08:00,12.6,0.00,81
1,2025-07-06T09:00,14.2,0.00,74
1,2025-07-06T10:00,15.9,0.00,66
1,2025-07-06T11:00,17.7,0.00,57
1,2025-07-06T12:00,19.0,0.00,50
1,2025-07-06T13:00,19.8,0.00,46
1,2025-07-06T14:00,20.2,0.00,45
